name,distance,address
Hollywood North Beach Park,9,"3601 N Ocean Dr, Hollywood, FL 33019"
Zacks Snacks BBQ,37,"3601 N Ocean Dr, Hollywood, FL 33019"
Food King,414,"3111 N Surf Rd, Hollywood, FL 33019"
Oceans 13 Sports Bar & Grill,432,"3111 N Surf Rd, Hollywood, FL 33019"
Anne Kolb Nature Center,614,"751 Sheridan St, Hollywood, FL 33019"
Latitudes Restaurant,787,"2501 N Ocean Dr (at Hollywood Beach Marriott), Hollywood, FL 33019"
Walgreens,84,"3101 N Ocean Blvd, Fort Lauderdale, FL 33308"
Cafe Martorano,92,"3343 E Oakland Park Blvd (Oakland Park Blvd & A1A), Fort Lauderdale, FL 33308"
Scuba School & Dive Center,101,"3329 E Oakland Park Blvd, Fort Lauderdale, FL 33308"
Thasos Greek Restaurant,106,"3330 E Oakland Park Blvd (at A1A), Fort Lauderdale, FL 33308"
Pan'e Dolci,111,"3341 E Oakland Park Blvd (Oakland Park & A1A), Fort Lauderdale, FL 33308"
Cigar Republic and Wine Bar,111,"3337 NE 32nd St, Fort Lauderdale, FL 33308"
Cigar Republic USA,125,"3337 E Oakland Park Blvd (A1A), Fort Lauderdale, FL 33308"
Pineapple Scuba,134,"3329 E Oakland Park Blvd, Fort Lauderdale, FL 33308"
Smoke BBQ,144,"3351 NE 32nd St (A1A), Fort Lauderdale, FL 33308"
Yarns & Arts,145,"3330 NE 32nd St, Fort Lauderdale, FL 33308"
Razzleberry's Icecream,63,"3412 E Atlantic Blvd, Pompano Beach, FL 33062"
The Taco Joint,82,"3432 E Atlantic Blvd, Pompano Beach, FL 33062"
Mora Grill,90,"3428 E Atlantic Blvd (Briny Ave), Pompano Beach, FL 33062"
9 Face Sushi Cafe,95,"3422 E Atlantic Blvd (Atlantic & Briny), Pompano Beach, FL 33062"
Carlucci's Brick Oven Trattoria & Pizzeria,101,"3420 E Atlantic Blvd, Pompano Beach, FL 33062"
Miami Blues,125,"3400 E Atlantic Blvd, Pompano Beach, FL 33062"
Benny's Fishing Charters,140,"3109 E Atlantic Blvd, Pompano Beach, FL 33062"
The Plaza at Oceanside,199,"1 N Ocean Blvd, Pompano Beach, FL 33062"
Walgreens,235,"15 S Ocean Blvd, Pompano Beach, FL 33062"
2nd Street Surf Shop,318,"3159 E Atlantic Blvd, Pompano Beach, FL 33062"
AutoNation IMAX Theater,42,"401 SW 2nd St, Fort Lauderdale, FL 33312"
Esplanade Park,47,"400 SW 4th Ave, Fort Lauderdale, FL 33312"
Apothecary 330,121,"330 Himmarshee St, Fort Lauderdale, FL 33312"
Pizzacraft Artisan Pizzeria,121,"330 Himmarshee St, Fort Lauderdale, FL 33312"
Original Fat Cat's,156,"320 Himmarshee St (at Nugent Ave.), Fort Lauderdale, FL 33312"
Josephine S Leiser Opera Center,166,"221 Nugent Ave, Fort Lauderdale, FL 33312"
Lucky's Tavern,198,"214 SW 2nd St, Fort Lauderdale, FL 33301"
Bandoleros Taqueria Y Mas,217,"208 SW 2nd St, Fort Lauderdale, FL 33301"
