name,latitude,longitude,free_bikes,empty_slots,total_bikes,usage_percentage
Hollywood North Beach,26.03444,-80.11455,4,7,11,0.6363636363636364
Earl Lifshey 3.0,26.16739,-80.10032,7,5,12,0.4166666666666667
Atlantic & Briny,26.23237,-80.08965,4,5,9,0.5555555555555556
Esplanade Park,26.12026,-80.14819,6,5,11,0.45454545454545453
Bayshore & A1A 3.0,26.12807,-80.10368,11,6,17,0.35294117647058826
Holiday Park at Sunrise,26.13707,-80.12981,6,5,11,0.45454545454545453
Broadwalk at Jefferson St.,26.00656,-80.116,11,6,17,0.35294117647058826
Las Olas Beach Park,26.11837,-80.10492,7,7,14,0.5
Las Olas & SE 9th Ave,26.11954,-80.13407,11,0,11,0.0
George English Park,26.13813,-80.1157,6,5,11,0.45454545454545453
Galleria,26.13776,-80.11248,6,5,11,0.45454545454545453
Courthouse (540 Bldg),26.11501,-80.14008,5,6,11,0.5454545454545454
Sunrise & Ocean 3.0,26.13778,-80.10325,3,10,13,0.7692307692307693
Las Olas Parking Garage,26.11975,-80.10715,7,4,11,0.36363636363636365
Lauderdale by the Sea,26.19081,-80.09666,5,5,10,0.5
Convention Center 3.0,26.10088,-80.12377,8,4,12,0.3333333333333333
Sebastian Lot 3.0,26.12431,-80.1041,8,6,14,0.42857142857142855
South Beach Lot 3.0,26.11414,-80.10482,4,5,9,0.5555555555555556
South Beach Lot #2 3.0,26.10985,-80.10608,5,6,11,0.5454545454545454
Willingham Park,26.15495,-80.10109,3,10,13,0.7692307692307693
